run,metric,value
run_20191002-0939,dat.n_points,105
run_20191002-0939,dat.depth_med,50
run_20191002-0939,dat.depth_min,5
run_20191002-0939,dat.depth_max,100
run_20191002-0939,dat.elev_min,4064
run_20191002-0939,dat.elev_max,5119
run_20191002-0939,dat.slope_min,0.124748192727566
run_20191002-0939,dat.slope_max,1.16945028305054
run_20191002-0939,cv.bias.lm,0.00629726909723927
run_20191002-0939,cv.rmse.lm,2.16110887853406
run_20191002-0939,cv.coverage.lm,0.96
run_20191002-0939,cv.interv.lm,8.62389917698287
run_20191002-0939,cv.bias.sm,-0.119422009429042
run_20191002-0939,cv.rmse.sm,2.21152423644145
run_20191002-0939,cv.coverage.sm,0.974285714285714
run_20191002-0939,cv.interv.sm,8.87040750182216
run_20191002-0939,prdr.n_points,26664
run_20191002-0939,prdr.elev_min,899
run_20191002-0939,prdr.elev_max,5468
run_20191002-0939,prdr.slope_min,0.00999966636300087
run_20191002-0939,prdr.slope_max,1.34603488445282
run_20191002-1632,dat.n_points,769
run_20191002-1632,dat.depth_med,15
run_20191002-1632,dat.depth_min,0
run_20191002-1632,dat.depth_max,110
run_20191002-1632,dat.elev_min,1989
run_20191002-1632,dat.elev_max,6010
run_20191002-1632,dat.slope_min,0.0679027959704399
run_20191002-1632,dat.slope_max,1.3431853055954
run_20191002-1632,cv.bias.lm,0.000821668714473165
run_20191002-1632,cv.rmse.lm,2.91650701190001
run_20191002-1632,cv.coverage.lm,0.938231469440832
run_20191002-1632,cv.interv.lm,11.4510167800254
run_20191002-1632,cv.bias.sm,0.190453700997875
run_20191002-1632,cv.rmse.sm,3.01200800852752
run_20191002-1632,cv.coverage.sm,0.967230169050715
run_20191002-1632,cv.interv.sm,11.7296182420408
run_20191002-1632,prdr.n_points,588946
run_20191002-1632,prdr.elev_min,-1000
run_20191002-1632,prdr.elev_max,6195
run_20191002-1632,prdr.slope_min,0
run_20191002-1632,prdr.slope_max,1.51313161849976
run_20191003-1619,dat.n_points,105
run_20191003-1619,dat.depth_med,50
run_20191003-1619,dat.depth_min,5
run_20191003-1619,dat.depth_max,100
run_20191003-1619,dat.elev_min,4064
run_20191003-1619,dat.elev_max,5119
run_20191003-1619,dat.slope_min,0.124748192727566
run_20191003-1619,dat.slope_max,1.16945028305054
run_20191003-1619,cv.bias.lm,0.0133873498137805
run_20191003-1619,cv.rmse.lm,2.16818124668236
run_20191003-1619,cv.coverage.lm,0.96
run_20191003-1619,cv.interv.lm,8.62083524555447
run_20191003-1619,cv.bias.sm,-0.101321177739903
run_20191003-1619,cv.rmse.sm,2.22734496401251
run_20191003-1619,cv.coverage.sm,0.974285714285714
run_20191003-1619,cv.interv.sm,8.86535028493041
run_20191003-1619,prdr.n_points,26664
run_20191003-1619,prdr.elev_min,899
run_20191003-1619,prdr.elev_max,5468
run_20191003-1619,prdr.slope_min,0.00999966636300087
run_20191003-1619,prdr.slope_max,1.34603488445282
run_20191003-1619,mod.cov.model,spherical
run_20191003-1619,mod.nugget,2.52857036961407
run_20191003-1619,mod.sigmasq,2.43531994541177
run_20191003-1619,mod.phi,1015.47920942005
run_20191003-1619,mod.kappa,0.5
run_20191003-1619,mod.intercept,6.89175720824216
run_20191003-1619,mod.covar1,0.00048932464808068
run_20191003-1619,mod.covar2,-4.25888862249373
run_20191003-1619,mod.tausq,2.52857036961407
run_20191003-1619,mod.practicalRange,1015.47920942005
run_20191003-1619,mod.loglik,-222.247786247043
run_20191003-1619,mod.AIC,456.495572494086
run_20191003-1619,mod.BIC,472.419334595031
run_20191114-0520,dat.n_points,1417
run_20191114-0520,dat.depth_med,163.6211
run_20191114-0520,dat.depth_min,0
run_20191114-0520,dat.depth_max,437.1875
run_20191114-0520,dat.elev_min,497.2
run_20191114-0520,dat.elev_max,670.6
run_20191114-0520,dat.slope_min,0.438122925067806
run_20191114-0520,dat.slope_max,16.1019054036227
run_20191114-0520,cv.bias.lm,0.00167041940557124
run_20191114-0520,cv.rmse.lm,3.66228489098068
run_20191114-0520,cv.coverage.lm,0.972194777699365
